"1","Avatar","201","Color","English","USA"
"2","Pirates of the Caribbean: At World's End ","195","Color","English","USA"
"3","Spectre ","194","Color","English","UK"
"4","The Dark Knight Rises ","186","Color","English","USA"
"5","Star Wars: Episode VII - The Force Awakens             ","183","0","0","0"
"6","John Carter ","182","Color","English","USA"
"7","Spider-Man 3 ","178","Color","English","USA"
"8","Tangled ","176","Color","English","USA"
"9","Avengers: Age of Ultron ","173","Color","English","USA"
"10","Harry Potter and the Half-Blood Prince ","169","Color","English","UK"
"11","Batman v Superman: Dawn of Justice ","169","Color","English","USA"
"12","Superman Returns ","169","Color","English","USA"
"13","Quantum of Solace ","165","Color","English","UK"
"14","Pirates of the Caribbean: Dead Man's Chest ","164","Color","English","USA"
"15","The Lone Ranger ","164","Color","English","USA"
"16","Man of Steel ","158","Color","English","USA"
"17","The Chronicles of Narnia: Prince Caspian ","156","Color","English","USA"
"18","The Avengers ","156","Color","English","USA"
"19","Pirates of the Caribbean: On Stranger Tides ","154","Color","English","USA"
"20","Men in Black 3 ","153","Color","English","USA"
"21","The Hobbit: The Battle of the Five Armies ","153","Color","English","New Zealand"
"22","The Amazing Spider-Man ","152","Color","English","USA"
"23","Robin Hood ","151","Color","English","USA"
"24","The Hobbit: The Desolation of Smaug ","150","Color","English","USA"
"25","The Golden Compass ","150","Color","English","USA"
"26","King Kong ","150","Color","English","New Zealand"
"27","Titanic ","150","Color","English","USA"
"28","Captain America: Civil War ","149","Color","English","USA"
"29","Battleship ","148","Color","English","USA"
"30","Jurassic World ","148","Color","English","USA"
"31","Skyfall ","147","Color","English","UK"
"32","Spider-Man 2 ","144","Color","English","USA"
"33","Iron Man 3 ","143","Color","English","USA"
"34","Alice in Wonderland ","143","Color","English","USA"
"35","X-Men: The Last Stand ","143","Color","English","Canada"
"36","Monsters University ","142","Color","English","USA"
"37","Transformers: Revenge of the Fallen ","141","Color","English","USA"
"38","Transformers: Age of Extinction ","140","Color","English","USA"
"39","Oz the Great and Powerful ","136","Color","English","USA"
"40","The Amazing Spider-Man 2 ","136","Color","English","USA"
"41","TRON: Legacy ","135","Color","English","USA"
"42","Cars 2 ","132","Color","English","USA"
"43","Green Lantern ","132","Color","English","USA"
"44","Toy Story 3 ","132","Color","English","USA"
"45","Terminator Salvation ","131","Color","English","USA"
"46","Furious 7 ","131","Color","English","USA"
"47","World War Z ","130","Color","English","USA"
"48","X-Men: Days of Future Past ","130","Color","English","USA"
"49","Star Trek Into Darkness ","130","Color","English","USA"
"50","Jack the Giant Slayer ","128","Color","English","USA"
"51","The Great Gatsby ","127","Color","English","Australia"
"52","Prince of Persia: The Sands of Time ","126","Color","English","USA"
"53","Pacific Rim ","126","Color","English","USA"
"54","Transformers: Dark of the Moon ","125","Color","English","USA"
"55","Indiana Jones and the Kingdom of the Crystal Skull ","124","Color","English","USA"
"56","The Good Dinosaur ","124","Color","English","USA"
"57","Brave ","123","Color","English","USA"
"58","Star Trek Beyond ","123","Color","English","USA"
"59","WALL·E ","123","Color","English","USA"
"60","Rush Hour 3 ","122","Color","English","USA"
"61","2012 ","122","Color","English","USA"
"62","A Christmas Carol ","121","Color","English","USA"
"63","Jupiter Ascending ","120","Color","English","USA"
"64","The Legend of Tarzan ","120","Color","English","USA"
"65","The Chronicles of Narnia: The Lion the Witch and the Wardrobe ","118","Color","English","USA"
"66","X-Men: Apocalypse ","118","Color","English","USA"
"67","The Dark Knight ","116","Color","English","USA"
"68","Up ","114","Color","English","USA"
"69","Monsters vs. Aliens ","113","Color","English","USA"
"70","Iron Man ","113","Color","English","USA"
"71","Hugo ","112","Color","English","USA"
"72","Wild Wild West ","110","Color","English","USA"
"73","The Mummy: Tomb of the Dragon Emperor ","109","Color","English","USA"
"74","Suicide Squad ","109","Color","English","USA"
"75","Evan Almighty ","108","Color","English","USA"
"76","Edge of Tomorrow ","106","Color","English","USA"
"77","Waterworld ","106","Color","English","USA"
"78","G.I. Joe: The Rise of Cobra ","106","Color","English","USA"
"79","Inside Out ","106","Color","English","USA"
"80","The Jungle Book ","106","Color","English","UK"
"81","Iron Man 2 ","104","Color","English","USA"
"82","Snow White and the Huntsman ","104","Color","English","USA"
"83","Maleficent ","103","Color","English","USA"
"84","Dawn of the Planet of the Apes ","102","Color","English","USA"
"85","The Lovers ","101","Color","English","Belgium"
"86","47 Ronin ","100","Color","English","USA"
"87","Captain America: The Winter Soldier ","100","Color","English","USA"
"88","Shrek Forever After ","98","Color","English","USA"
"89","Tomorrowland ","98","Color","English","USA"
"90","Big Hero 6 ","97","Color","English","USA"
"91","Wreck-It Ralph ","96","Color","English","USA"
"92","The Polar Express ","96","Color","English","USA"
"93","Independence Day: Resurgence ","96","Color","English","USA"
"94","How to Train Your Dragon ","95","Color","English","USA"
"95","Terminator 3: Rise of the Machines ","94","Color","English","USA"
"96","Guardians of the Galaxy ","93","Color","English","USA"
"97","Interstellar ","93","Color","English","USA"
"98","Inception ","93","Color","English","USA"
"99","Godzilla Resurgence ","91","Color","Japanese","Japan"
"100","The Hobbit: An Unexpected Journey ","0","Color","English","USA"
